confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
g__beta-lactamase,s__bacteroides_xylanisolvens,s__bacteroides_thetaiotaomicron,1,1,1,1,DBN_,T,TG
g__peroxiredoxin,s__escherichia_coli,s__haemophilus_parainfluenzae,0.89,0.87,1,0.7743,DBN_,T,TG
g__aspartate ammonia-lyase,s__bifidobacterium_longum,s__escherichia_coli,0.14,0.11,0.52,0.008008,DBN_,T,TG
s__haemophilus_parainfluenzae,g__uridine kinase,g__dephospho-coa kinase,1,1,1,1,DBN_,GM,TGM
s__bifidobacterium_longum,g__uridine kinase,g__dephospho-coa kinase,1,1,1,1,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__pyruvate carboxylase,g__phosphatidate cytidylyltransferase,1,1,1,1,DBN_,GM,TGM
s__faecalibacterium_prausnitzii,g__phosphopyruvate hydratase,g__superoxide dismutase,1,1,1,1,DBN_,GM,TGM
s__klebsiella_pneumoniae,g__l-serine ammonia-lyase,g__triose-phosphate isomerase,1,1,1,1,DBN_,GM,TGM
s__bacteroides_caccae,m__hmdb00056,m__hmdb01257,1,1,1,1,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__dephospho-coa kinase,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,1,0.99,1,0.99,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__pyruvate carboxylase,g__glutamate dehydrogenase,1,1,0.99,0.99,DBN_,GM,TGM
s__klebsiella_pneumoniae,g__aspartate ammonia-lyase,g__l-serine ammonia-lyase,1,1,0.99,0.99,DBN_,GM,TGM
s__clostridium_clostridioforme,g__aldose 1-epimerase,m__hmdb00030,1,1,0.99,0.99,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__uridine kinase,g__pyruvate carboxylase,1,1,0.95,0.95,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__glutamate dehydrogenase,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,1,0.99,0.95,0.9405,DBN_,GM,TGM
s__clostridium_clostridioforme,m__hmdb00089,m__hmdb00630,0.96,1,0.97,0.9312,DBN_,GM,TGM
s__escherichia_coli,g__l-serine ammonia-lyase,g__dihydrolipoyl dehydrogenase,0.88,1,1,0.88,DBN_,GM,TGM
s__eubacterium_ventriosum,g__shikimate kinase,g__peptidylprolyl isomerase,0.94,0.99,0.93,0.865458,DBN_,GM,TGM
s__escherichia_coli,g__l-serine ammonia-lyase,g__fructose-bisphosphate aldolase,0.88,0.97,1,0.8536,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__glutamate dehydrogenase,g__uridine kinase,1,1,0.76,0.76,DBN_,GM,TGM
s__clostridium_clostridioforme,g__aldose 1-epimerase,g__peptidylprolyl isomerase,1,0.7,0.77,0.539,DBN_,GM,TGM
s__clostridium_clostridioforme,g__transaldolase,g__aldose 1-epimerase,0.63,1,0.79,0.4977,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__aspartate ammonia-lyase,g__ribulose-phosphate 3-epimerase,0.8,0.97,0.55,0.4268,DBN_,GM,TGM
s__eubacterium_rectale,g__peroxiredoxin,g__glucose-1-phosphate adenylyltransferase,0.88,1,0.46,0.4048,DBN_,GM,TGM
s__escherichia_coli,g__shikimate kinase,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.97,0.74,0.56,0.401968,DBN_,GM,TGM
s__streptococcus_parasanguinis,g__fructose-bisphosphate aldolase,g__rna helicase,1,1,0.39,0.39,DBN_,GM,TGM
