confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
m__hmdb01257,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,0.75,0.34,0.255,DBN_,T,TM
g__5-formyltetrahydrofolate cyclo-ligase,s__alistipes_shahii,s__clostridium_bolteae,1,1,0.96,0.96,DBN_,T,TG
g__5-formyltetrahydrofolate cyclo-ligase,s__clostridium_bolteae,s__alistipes_shahii,1,1,0.94,0.94,DBN_,T,TG
g__5-formyltetrahydrofolate cyclo-ligase,s__alistipes_shahii,s__odoribacter_splanchnicus,1,1,0.4,0.4,DBN_,T,TG
g__5-formyltetrahydrofolate cyclo-ligase,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,1,0.34,0.34,DBN_,T,TG
g__beta-lactamase,s__bacteroides_thetaiotaomicron,s__bacteroides_xylanisolvens,0.15,1,1,0.15,DBN_,T,TG
s__c2likevirus_unclassified,s__escherichia_coli,s__faecalibacterium_prausnitzii,0.99,1,1,0.99,DBN_,TM,TTM
s__c2likevirus_unclassified,s__eubacterium_rectale,s__roseburia_inulinivorans,1,0.99,0.93,0.9207,DBN_,TM,TTM
s__clostridium_citroniae,m__hmdb00239,s__bacteroides_ovatus,0.75,1,1,0.75,DBN_,TM,TTM
s__veillonella_dispar,s__clostridium_clostridioforme,m__hmdb00630,0.7,1,1,0.7,DBN_,TM,TTM
s__veillonella_dispar,s__clostridium_clostridioforme,m__hmdb00089,0.7,1,1,0.7,DBN_,TM,TTM
s__bacteroides_massiliensis,s__bacteroides_faecis,s__bacteroides_stercoris,1,0.97,0.72,0.6984,DBN_,TM,TTM
s__veillonella_dispar,m__hmdb00089,s__clostridium_clostridioforme,1,0.7,0.98,0.686,DBN_,TM,TTM
s__anaerotruncus_colihominis,m__hmdb00056,s__bacteroides_caccae,1,0.62,1,0.62,DBN_,TM,TTM
s__anaerotruncus_colihominis,s__bacteroides_caccae,s__ruminococcus_torques,0.62,1,1,0.62,DBN_,TM,TTM
s__anaerotruncus_colihominis,s__bacteroides_caccae,m__hmdb00056,0.62,1,1,0.62,DBN_,TM,TTM
s__c2likevirus_unclassified,s__eubacterium_rectale,s__escherichia_coli,1,0.99,0.62,0.6138,DBN_,TM,TTM
s__bacteroides_massiliensis,m__hmdb00043,s__bacteroides_stercoris,1,0.97,0.48,0.4656,DBN_,TM,TTM
s__dorea_formicigenerans,s__eubacterium_ventriosum,m__hmdb00043,1,0.38,1,0.38,DBN_,TM,TTM
s__dorea_formicigenerans,m__hmdb00043,s__eubacterium_ventriosum,0.38,1,1,0.38,DBN_,TM,TTM
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,0.37,0.37,DBN_,TM,TTM
s__clostridium_citroniae,s__bacteroides_ovatus,m__hmdb00239,1,0.75,0.46,0.345,DBN_,TM,TTM
s__veillonella_dispar,s__clostridium_clostridioforme,m__hmdb02322,0.7,0.99,0.27,0.18711,DBN_,TM,TTM
s__clostridium_asparagiforme,m__hmdb00195,s__odoribacter_splanchnicus,0.24,0.99,0.18,0.042768,DBN_,TM,TTM
s__clostridium_asparagiforme,m__hmdb00619,s__odoribacter_splanchnicus,0.22,0.99,0.16,0.034848,DBN_,TM,TTM
