confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__veillonella_unclassified,s__bifidobacterium_longum,s__bacteroides_fragilis,1,1,1,1,DBN_,T,TT
s__ruminococcus_bromii,s__bacteroides_caccae,s__odoribacter_splanchnicus,1,0.99,1,0.99,DBN_,T,TT
s__bacteroides_massiliensis,s__bacteroides_faecis,s__bacteroides_stercoris,1,1,0.98,0.98,DBN_,T,TT
s__ruminococcus_obeum,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,1,0.95,0.95,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,0.83,0.83,DBN_,T,TT
s__veillonella_unclassified,s__bacteroides_fragilis,s__bifidobacterium_longum,1,1,0.83,0.83,DBN_,T,TT
s__anaerotruncus_colihominis,s__eubacterium_rectale,s__ruminococcus_torques,0.82,1,0.99,0.8118,DBN_,T,TT
s__ruminococcus_obeum,s__clostridium_bolteae,s__alistipes_shahii,1,0.79,1,0.79,DBN_,T,TT
s__ruminococcus_obeum,s__bacteroides_xylanisolvens,s__ruminococcus_torques,0.86,0.87,1,0.7482,DBN_,T,TT
s__bacteroides_eggerthii,s__alistipes_shahii,s__odoribacter_splanchnicus,0.98,0.85,0.86,0.71638,DBN_,T,TT
s__clostridium_asparagiforme,s__alistipes_shahii,s__odoribacter_splanchnicus,0.79,1,0.86,0.6794,DBN_,T,TT
s__ruminococcus_obeum,s__alistipes_shahii,s__odoribacter_splanchnicus,0.79,1,0.86,0.6794,DBN_,T,TT
s__clostridium_asparagiforme,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,1,1,0.59,0.59,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__faecalibacterium_prausnitzii,s__escherichia_coli,0.98,0.6,0.92,0.54096,DBN_,T,TT
s__ruminococcus_obeum,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,1,0.86,0.59,0.5074,DBN_,T,TT
s__bacteroides_eggerthii,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,0.85,0.99,0.59,0.496485,DBN_,T,TT
s__dorea_formicigenerans,s__bacteroides_finegoldii,s__eubacterium_ventriosum,0.54,1,0.72,0.3888,DBN_,T,TT
s__barnesiella_intestinihominis,s__alistipes_shahii,s__eubacterium_ventriosum,0.38,1,1,0.38,DBN_,T,TT
s__clostridium_symbiosum,s__roseburia_intestinalis,s__haemophilus_parainfluenzae,0.86,0.84,0.52,0.375648,DBN_,T,TT
s__c2likevirus_unclassified,s__bacteroides_uniformis,s__escherichia_coli,1,1,0.36,0.36,DBN_,T,TT
s__alistipes_putredinis,s__bacteroides_uniformis,s__eubacterium_siraeum,0.41,0.88,0.99,0.357192,DBN_,T,TT
s__streptococcus_thermophilus,s__bacteroides_uniformis,s__escherichia_coli,0.97,1,0.36,0.3492,DBN_,T,TT
