confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__prevotella_copri,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,1,1,1,1,DBN_,T,TT
s__bacteroides_massiliensis,s__bacteroides_faecis,s__bacteroides_stercoris,1,1,0.96,0.96,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,0.85,0.85,DBN_,T,TT
s__bacteroides_eggerthii,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.71,0.91,1,0.6461,DBN_,T,TT
s__ruminococcus_obeum,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,0.99,0.65,0.6435,DBN_,T,TT
s__ruminococcus_obeum,s__bacteroides_xylanisolvens,s__ruminococcus_torques,0.71,0.89,1,0.6319,DBN_,T,TT
s__ruminococcus_obeum,s__alistipes_shahii,s__odoribacter_splanchnicus,0.72,0.99,0.57,0.406296,DBN_,T,TT
s__barnesiella_intestinihominis,s__alistipes_shahii,s__eubacterium_ventriosum,0.34,0.93,1,0.3162,DBN_,T,TT
s__alistipes_putredinis,s__bacteroides_uniformis,s__eubacterium_siraeum,0.38,0.83,0.99,0.312246,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__roseburia_intestinalis,1,0.25,1,0.25,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__bacteroides_fragilis,1,0.21,1,0.21,DBN_,T,TT
s__bacteroides_massiliensis,s__roseburia_intestinalis,s__bacteroides_faecis,0.23,1,0.72,0.1656,DBN_,T,TT
s__ruminococcus_obeum,s__bacteroides_xylanisolvens,s__clostridium_bolteae,0.71,1,0.17,0.1207,DBN_,T,TT
s__veillonella_unclassified,s__bacteroides_fragilis,s__bifidobacterium_longum,0.21,1,0.57,0.1197,DBN_,T,TT
s__dorea_formicigenerans,s__ruminococcus_torques,s__bacteroides_faecis,0.18,0.82,0.76,0.112176,DBN_,T,TT
s__bacteroides_eggerthii,s__streptococcus_parasanguinis,s__clostridium_clostridioforme,0.91,1,0.1,0.091,DBN_,T,TT
s__parabacteroides_distasonis,s__roseburia_inulinivorans,s__eubacterium_rectale,1,0.46,0.18,0.0828,DBN_,T,TT
s__parabacteroides_distasonis,s__eubacterium_rectale,s__bacteroides_ovatus,0.46,0.27,0.5,0.0621,DBN_,T,TT
s__dorea_formicigenerans,s__ruminococcus_torques,s__eubacterium_ventriosum,0.18,1,0.29,0.0522,DBN_,T,TT
s__bacteroides_dorei,s__roseburia_intestinalis,s__bacteroides_uniformis,0.11,0.2,1,0.022,DBN_,T,TT
s__lachnospiraceae_bacterium_5_1_63faa,s__bacteroides_stercoris,s__eubacterium_ventriosum,1,0.1,0.13,0.013,DBN_,T,TT
m__hmdb01257,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,0.74,0.65,0.481,DBN_,T,TM
m__hmdb00056,s__bacteroides_caccae,s__bacteroides_uniformis,1,0.48,0.22,0.1056,DBN_,T,TM
m__hmdb00043,s__bacteroides_stercoris,s__eubacterium_ventriosum,0.74,1,0.13,0.0962,DBN_,T,TM
m__hmdb01257,s__eubacterium_rectale,s__clostridium_bolteae,0.11,1,0.78,0.0858,DBN_,T,TM
m__hmdb00020,s__roseburia_intestinalis,s__eubacterium_rectale,0.23,0.86,0.35,0.06923,DBN_,T,TM
