confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
m__hmdb01149,s__haemophilus_parainfluenzae,s__bifidobacterium_longum,0.4,0.6,0.2,0.048,PyCausal_,T,TM
m__hmdb00097,s__ruminococcus_torques,s__bacteroides_ovatus,0.2,0.6,0.2,0.024,PyCausal_,T,TM
m__hmdb00097,s__bacteroides_ovatus,s__ruminococcus_torques,0.6,0.2,0.2,0.024,PyCausal_,T,TM
m__hmdb00239,s__roseburia_intestinalis,s__faecalibacterium_prausnitzii,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00239,s__faecalibacterium_prausnitzii,s__roseburia_intestinalis,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb02322,s__akkermansia_muciniphila,s__ruminococcus_torques,0.4,0.2,0.2,0.016,PyCausal_,T,TM
m__hmdb02322,s__ruminococcus_torques,s__akkermansia_muciniphila,0.2,0.4,0.2,0.016,PyCausal_,T,TM
m__hmdb00097,s__alistipes_shahii,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00289,s__bacteroides_finegoldii,s__bacteroides_stercoris,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb02322,s__ruminococcus_torques,s__bacteroides_ovatus,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00764,s__ruminococcus_torques,s__bacteroides_ovatus,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb02322,s__bacteroides_ovatus,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00764,s__bacteroides_ovatus,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb01257,s__bacteroides_uniformis,s__bacteroides_faecis,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb01257,s__bacteroides_faecis,s__bacteroides_uniformis,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00619,s__bacteroides_xylanisolvens,s__bacteroides_finegoldii,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00764,s__akkermansia_muciniphila,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TM
m__hmdb00764,s__ruminococcus_torques,s__akkermansia_muciniphila,0.2,0.2,0.2,0.008,PyCausal_,T,TM
g__dna_helicase,s__bacteroides_finegoldii,s__akkermansia_muciniphila,0.6,0.4,0.2,0.048,PyCausal_,T,TG
g__dna_helicase,s__akkermansia_muciniphila,s__bacteroides_finegoldii,0.4,0.6,0.2,0.048,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__bacteroides_faecis,s__alistipes_shahii,0.4,0.2,0.4,0.032,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__alistipes_shahii,s__bacteroides_faecis,0.2,0.4,0.4,0.032,PyCausal_,T,TG
g__shikimate_kinase,s__bacteroides_caccae,s__ruminococcus_torques,0.2,0.2,0.4,0.016,PyCausal_,T,TG
g__shikimate_kinase,s__ruminococcus_torques,s__bacteroides_caccae,0.2,0.2,0.4,0.016,PyCausal_,T,TG
g__transaldolase,s__akkermansia_muciniphila,s__ruminococcus_torques,0.4,0.2,0.2,0.016,PyCausal_,T,TG
g__transaldolase,s__ruminococcus_torques,s__akkermansia_muciniphila,0.2,0.4,0.2,0.016,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__bacteroides_fragilis,s__roseburia_intestinalis,0.2,0.2,0.4,0.016,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__roseburia_intestinalis,s__bacteroides_fragilis,0.2,0.2,0.4,0.016,PyCausal_,T,TG
g__dnadirected_rna_polymerase,s__eubacterium_rectale,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__histidine_kinase,s__eubacterium_rectale,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__dnadirected_rna_polymerase,s__ruminococcus_torques,s__eubacterium_rectale,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__histidine_kinase,s__ruminococcus_torques,s__eubacterium_rectale,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__shikimate_kinase,s__bacteroides_caccae,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__rna_helicase,s__bacteroides_xylanisolvens,s__odoribacter_splanchnicus,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__2cmethylderythritol_4phosphate_cytidylyltransferase,s__streptococcus_parasanguinis,s__escherichia_coli,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__5formyltetrahydrofolate_cycloligase,s__streptococcus_parasanguinis,s__escherichia_coli,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__5formyltetrahydrofolate_cycloligase,s__escherichia_coli,s__streptococcus_parasanguinis,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__2cmethylderythritol_4phosphate_cytidylyltransferase,s__escherichia_coli,s__streptococcus_parasanguinis,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__bacteroides_fragilis,s__eubacterium_rectale,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__eubacterium_rectale,s__bacteroides_fragilis,0.2,0.2,0.2,0.008,PyCausal_,T,TG
