confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__bacteroides_massiliensis,s__bacteroides_stercoris,s__bacteroides_finegoldii,1,1,1,1,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__ruminococcus_torques,1,1,1,1,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,0.91,1,1,0.91,DBN_,T,TT
s__lachnospiraceae_bacterium_1_1_57faa,s__roseburia_inulinivorans,s__bacteroides_fragilis,0.86,1,1,0.86,DBN_,T,TT
s__veillonella_dispar,s__haemophilus_parainfluenzae,s__bacteroides_stercoris,0.93,0.88,0.78,0.638352,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__bacteroides_ovatus,1,0.77,0.78,0.6006,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,0.58,1,0.58,DBN_,T,TT
s__c2likevirus_unclassified,s__bacteroides_uniformis,s__escherichia_coli,0.97,0.98,0.53,0.503818,DBN_,T,TT
s__parabacteroides_unclassified,s__odoribacter_splanchnicus,s__clostridium_clostridioforme,0.86,0.98,0.57,0.480396,DBN_,T,TT
s__bacteroides_vulgatus,s__alistipes_shahii,s__bacteroides_faecis,1,0.8,0.59,0.472,DBN_,T,TT
s__veillonella_dispar,s__escherichia_coli,s__haemophilus_parainfluenzae,0.39,0.93,1,0.3627,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__haemophilus_parainfluenzae,1,0.43,0.78,0.3354,DBN_,T,TT
s__sutterella_wadsworthensis,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,0.43,1,0.78,0.3354,DBN_,T,TT
s__bacteroides_dorei,s__bacteroides_ovatus,s__bacteroides_stercoris,0.63,0.12,0.84,0.063504,DBN_,T,TT
g__peroxiredoxin,s__escherichia_coli,s__haemophilus_parainfluenzae,1,1,1,1,DBN_,T,TG
g__beta-lactamase,s__bacteroides_xylanisolvens,s__bacteroides_thetaiotaomicron,1,1,1,1,DBN_,T,TG
g__beta-lactamase,s__bacteroides_thetaiotaomicron,s__bacteroides_xylanisolvens,1,1,0.91,0.91,DBN_,T,TG
g__triose-phosphate isomerase,s__akkermansia_muciniphila,s__bacteroides_finegoldii,0.33,1,1,0.33,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__bacteroides_thetaiotaomicron,s__roseburia_intestinalis,1,1,0.24,0.24,DBN_,T,TG
g__triose-phosphate isomerase,s__bacteroides_finegoldii,s__bacteroides_cellulosilyticus,1,0.75,0.16,0.12,DBN_,T,TG
g__dephospho-coa kinase,s__haemophilus_parainfluenzae,s__bacteroides_stercoris,0.11,1,0.78,0.0858,DBN_,T,TG
g__beta-lactamase,s__bacteroides_faecis,s__eubacterium_siraeum,0.2,0.24,0.92,0.04416,DBN_,T,TG
s__klebsiella_pneumoniae,g__transaldolase,g__aspartate ammonia-lyase,1,1,1,1,DBN_,GM,TGM
s__haemophilus_parainfluenzae,g__uridine kinase,g__dephospho-coa kinase,1,1,1,1,DBN_,GM,TGM
s__bifidobacterium_longum,g__uridine kinase,g__dephospho-coa kinase,1,1,1,1,DBN_,GM,TGM
s__escherichia_coli,g__l-serine ammonia-lyase,g__dihydrolipoyl dehydrogenase,1,1,1,1,DBN_,GM,TGM
s__streptococcus_parasanguinis,g__fructose-bisphosphate aldolase,g__endopeptidase clp,1,1,1,1,DBN_,GM,TGM
s__streptococcus_parasanguinis,g__l-serine ammonia-lyase,g__fructose-bisphosphate aldolase,1,1,1,1,DBN_,GM,TGM
s__escherichia_coli,g__l-serine ammonia-lyase,g__fructose-bisphosphate aldolase,1,1,1,1,DBN_,GM,TGM
s__klebsiella_pneumoniae,g__aspartate ammonia-lyase,g__l-serine ammonia-lyase,1,1,1,1,DBN_,GM,TGM
