confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__bacteroides_massiliensis,s__bacteroides_stercoris,s__bacteroides_finegoldii,1,1,1,1,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,1,1,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__ruminococcus_torques,1,1,1,1,DBN_,T,TT
s__lachnospiraceae_bacterium_1_1_57faa,s__roseburia_inulinivorans,s__bacteroides_fragilis,1,1,1,1,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,0.99,1,0.99,DBN_,T,TT
s__sutterella_wadsworthensis,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,0.98,1,1,0.98,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__haemophilus_parainfluenzae,1,0.98,0.96,0.9408,DBN_,T,TT
s__bacteroides_dorei,s__bacteroides_ovatus,s__bacteroides_stercoris,0.98,0.98,0.96,0.921984,DBN_,T,TT
s__eubacterium_eligens,s__akkermansia_muciniphila,s__bacteroides_finegoldii,0.9,1,1,0.9,DBN_,T,TT
s__streptococcus_thermophilus,s__bifidobacterium_longum,s__bacteroides_thetaiotaomicron,0.87,1,1,0.87,DBN_,T,TT
s__veillonella_dispar,s__haemophilus_parainfluenzae,s__bacteroides_stercoris,0.98,0.93,0.94,0.856716,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__bacteroides_ovatus,1,1,0.84,0.84,DBN_,T,TT
s__streptococcus_thermophilus,s__escherichia_coli,s__bifidobacterium_longum,0.96,0.87,1,0.8352,DBN_,T,TT
s__bacteroides_vulgatus,s__alistipes_shahii,s__bacteroides_faecis,1,0.97,0.77,0.7469,DBN_,T,TT
s__veillonella_dispar,s__escherichia_coli,s__haemophilus_parainfluenzae,0.58,0.98,1,0.5684,DBN_,T,TT
s__parabacteroides_unclassified,s__odoribacter_splanchnicus,s__clostridium_clostridioforme,0.98,1,0.5,0.49,DBN_,T,TT
s__c2likevirus_unclassified,s__bacteroides_uniformis,s__escherichia_coli,0.9,1,0.49,0.441,DBN_,T,TT
s__clostridium_asparagiforme,s__bacteroides_xylanisolvens,s__bacteroides_faecis,0.73,0.97,0.34,0.240754,DBN_,T,TT
s__lachnospiraceae_bacterium_1_1_57faa,s__roseburia_inulinivorans,s__ruminococcus_torques,1,0.85,0.19,0.1615,DBN_,T,TT
s__parabacteroides_distasonis,s__faecalibacterium_prausnitzii,s__klebsiella_pneumoniae,1,0.21,0.7,0.147,DBN_,T,TT
s__parabacteroides_distasonis,s__eubacterium_rectale,s__roseburia_inulinivorans,0.14,1,1,0.14,DBN_,T,TT
s__parabacteroides_distasonis,s__faecalibacterium_prausnitzii,s__eubacterium_siraeum,1,1,0.13,0.13,DBN_,T,TT
s__dialister_invisus,s__bacteroides_ovatus,s__ruminococcus_torques,1,1,0.12,0.12,DBN_,T,TT
s__veillonella_dispar,s__bacteroides_stercoris,s__haemophilus_parainfluenzae,0.93,0.98,0.13,0.118482,DBN_,T,TT
s__anaerostipes_hadrus,s__bacteroides_caccae,s__eubacterium_siraeum,0.42,0.94,0.18,0.071064,DBN_,T,TT
s__parabacteroides_distasonis,s__eubacterium_rectale,s__klebsiella_pneumoniae,0.14,0.21,0.9,0.02646,DBN_,T,TT
s__parabacteroides_distasonis,s__eubacterium_rectale,s__akkermansia_muciniphila,0.14,0.11,0.98,0.015092,DBN_,T,TT
m__hmdb00097,s__bacteroides_cellulosilyticus,s__bacteroides_xylanisolvens,1,0.99,0.64,0.6336,DBN_,T,TM
m__hmdb00239,s__roseburia_intestinalis,s__bacteroides_ovatus,0.54,1,1,0.54,DBN_,T,TM
m__hmdb01257,s__clostridium_clostridioforme,s__bacteroides_uniformis,0.66,0.15,0.81,0.08019,DBN_,T,TM
g__beta-lactamase,s__bacteroides_thetaiotaomicron,s__bacteroides_xylanisolvens,1,1,1,1,DBN_,T,TG
g__peroxiredoxin,s__escherichia_coli,s__haemophilus_parainfluenzae,1,1,1,1,DBN_,T,TG
g__beta-lactamase,s__bacteroides_xylanisolvens,s__bacteroides_thetaiotaomicron,1,1,1,1,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__bacteroides_thetaiotaomicron,s__roseburia_intestinalis,1,1,0.93,0.93,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__bifidobacterium_longum,s__bacteroides_thetaiotaomicron,0.78,1,1,0.78,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__bacteroides_thetaiotaomicron,s__eubacterium_rectale,1,0.83,0.92,0.7636,DBN_,T,TG
g__peptidylprolyl isomerase,s__bacteroides_thetaiotaomicron,s__haemophilus_parainfluenzae,0.96,0.57,0.96,0.525312,DBN_,T,TG
g__triose-phosphate isomerase,s__bacteroides_finegoldii,s__bacteroides_cellulosilyticus,1,0.86,0.59,0.5074,DBN_,T,TG
g__triose-phosphate isomerase,s__akkermansia_muciniphila,s__bacteroides_finegoldii,0.34,1,1,0.34,DBN_,T,TG
g__superoxide dismutase,s__clostridium_clostridioforme,s__bacteroides_uniformis,0.54,0.63,0.81,0.275562,DBN_,T,TG
g__thymidylate synthase,s__alistipes_shahii,s__bacteroides_uniformis,0.27,0.94,1,0.2538,DBN_,T,TG
g__thymidylate synthase,s__alistipes_shahii,s__roseburia_inulinivorans,0.27,0.91,0.78,0.191646,DBN_,T,TG
g__dephospho-coa kinase,s__haemophilus_parainfluenzae,s__bacteroides_stercoris,0.16,1,0.94,0.1504,DBN_,T,TG
g__beta-lactamase,s__bacteroides_xylanisolvens,s__bacteroides_faecis,1,0.41,0.34,0.1394,DBN_,T,TG
g__5-formyltetrahydrofolate cyclo-ligase,s__clostridium_bolteae,s__klebsiella_pneumoniae,1,0.19,0.58,0.1102,DBN_,T,TG
