T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00630,s__streptococcus_parasanguinis,0.8,0.2,0.1,0.5,0.008,FALSE,TRUE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,m__hmdb00089,s__klebsiella_pneumoniae,0.8,0.3,0.1,0.3,0.0072,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00089,s__klebsiella_pneumoniae,0.8,0.3,0.1,0.1,0.0024,FALSE,TRUE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,m__hmdb00630,s__streptococcus_parasanguinis,0.8,0.2,0.1,0.1,0.0016,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__histidine_kinase,m__hmdb00251,s__bacteroides_ovatus,0.7,0.1,0.1,0.5,0.0035,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__histidine_kinase,m__hmdb00251,s__bacteroides_xylanisolvens,0.7,0.1,0.2,0.2,0.0028,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__histidine_kinase,m__hmdb00251,s__bacteroides_xylanisolvens,0.7,0.1,0.2,0.1,0.0014,FALSE,TRUE,FALSE,TRUE
s__bacteroides_stercoris,,g__pyruvate_carboxylase,m__hmdb00089,s__bacteroides_stercoris,1,0.9,0.1,0.5,0.045,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.4,0.1,0.5,0.02,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.4,0.1,0.1,0.004,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,0.5,0.4,0.1,0.2,0.004,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__peroxiredoxin,m__hmdb01257,s__escherichia_coli,0.9,0.1,0.4,0.1,0.0036,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__faecalibacterium_prausnitzii,1,0.1,0.1,0.3,0.003,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose1phosphate_adenylyltransferase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.6,0.1,0.1,0.4,0.0024,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__ruminococcus_torques,0.8,0.1,0.1,0.3,0.0024,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__thymidylate_synthase,m__hmdb00251,s__bacteroides_xylanisolvens,0.9,0.1,0.2,0.1,0.0018,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__transaldolase,m__hmdb00056,s__bacteroides_faecis,0.1,0.1,0.1,1,0.001,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__phosphatidate_cytidylyltransferase,m__hmdb00030,s__alistipes_shahii,0.2,0.4,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__acetylcoa_cacetyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.8,0.1,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.8,0.1,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__ruminococcus_torques,0.8,0.1,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__histidine_kinase,m__hmdb00619,s__ruminococcus_torques,0.7,0.1,0.1,0.1,0.0007,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose1phosphate_adenylyltransferase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.6,0.1,0.1,0.1,0.0006,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__triosephosphate_isomerase,m__hmdb00043,s__eubacterium_ventriosum,0.1,0.2,0.1,0.2,0.0004,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__peptidylprolyl_isomerase,m__hmdb00251,s__odoribacter_splanchnicus,0.3,0.1,0.1,0.1,0.0003,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__histidine_kinase,m__hmdb00251,s__bacteroides_ovatus,0.2,0.1,0.1,0.1,0.0002,FALSE,TRUE,FALSE,FALSE
s__bacteroides_finegoldii,,g__rna_helicase,,s__bacteroides_finegoldii,0.1,,0.4,0.9,0.036,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__shikimate_kinase,,s__roseburia_inulinivorans,0.2,,0.1,0.9,0.018,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.3,,0.2,0.3,0.018,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__triosephosphate_isomerase,,s__bacteroides_xylanisolvens,0.4,,0.4,0.1,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__rna_helicase,,s__bacteroides_thetaiotaomicron,0.2,,0.2,0.3,0.012,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__phosphopyruvate_hydratase,,s__bacteroides_faecis,0.1,,0.1,1,0.01,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__phosphopyruvate_hydratase,,s__eubacterium_ventriosum,0.1,,0.1,0.9,0.009,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__aspartate_ammonialyase,,s__escherichia_coli,0.1,,0.1,0.8,0.008,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__phosphatidate_cytidylyltransferase,,s__akkermansia_muciniphila,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__acetylcoa_cacetyltransferase,,s__haemophilus_parainfluenzae,0.3,,0.1,0.2,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__pyruvate_carboxylase,,s__bacteroides_ovatus,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__pyruvate_carboxylase,,s__odoribacter_splanchnicus,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__endopeptidase_clp,,s__streptococcus_parasanguinis,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__histidine_kinase,,s__klebsiella_pneumoniae,0.5,,0.1,0.1,0.005,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__histidine_kinase,,s__streptococcus_parasanguinis,0.1,,0.5,0.1,0.005,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.1,,0.1,0.4,0.004,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.1,0.4,0.004,FALSE,FALSE,TRUE,FALSE
