T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_faecis,,g__superoxide_dismutase,m__hmdb00030,s__bacteroides_faecis,0.1,0.4,0.1,0.9,0.0036,FALSE,TRUE,TRUE,TRUE
s__bacteroides_fragilis,,g__acetylcoa_cacetyltransferase,m__hmdb02322,s__bacteroides_fragilis,0.4,0.1,0.1,0.8,0.0032,FALSE,TRUE,TRUE,TRUE
s__bacteroides_finegoldii,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb01149,s__bacteroides_finegoldii,0.4,0.1,0.1,0.7,0.0028,FALSE,TRUE,TRUE,TRUE
s__streptococcus_parasanguinis,,g__peroxiredoxin,m__hmdb00296,s__streptococcus_parasanguinis,0.8,0.1,0.1,0.3,0.0024,FALSE,TRUE,TRUE,TRUE
s__bacteroides_fragilis,,g__acetylcoa_cacetyltransferase,m__hmdb02322,s__eubacterium_rectale,0.4,0.1,0.1,0.1,0.0004,FALSE,TRUE,TRUE,TRUE
s__klebsiella_pneumoniae,,g__aspartate_ammonialyase,m__hmdb00630,s__klebsiella_pneumoniae,1,0.6,0.2,0.3,0.036,FALSE,TRUE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__dephosphocoa_kinase,m__hmdb00089,s__haemophilus_parainfluenzae,0.4,0.6,0.2,0.5,0.024,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00630,s__klebsiella_pneumoniae,0.1,0.6,0.2,0.5,0.006,FALSE,TRUE,TRUE,FALSE
s__clostridium_bolteae,,g__superoxide_dismutase,m__hmdb00030,s__bacteroides_faecis,0.9,0.4,0.1,0.1,0.0036,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00630,s__klebsiella_pneumoniae,0.1,0.6,0.2,0.2,0.0024,FALSE,TRUE,TRUE,FALSE
s__bacteroides_faecis,,g__superoxide_dismutase,m__hmdb00030,s__bacteroides_uniformis,0.1,0.4,0.1,0.2,0.0008,FALSE,TRUE,TRUE,FALSE
s__roseburia_intestinalis,,g__acetylcoa_cacetyltransferase,m__hmdb02322,s__bacteroides_fragilis,0.4,0.1,0.1,0.1,0.0004,FALSE,TRUE,TRUE,FALSE
s__escherichia_coli,,g__ribulosephosphate_3epimerase,m__hmdb02322,s__escherichia_coli,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__glutamate_dehydrogenase,m__hmdb00251,s__bacteroides_xylanisolvens,0.4,0.2,0.4,0.1,0.0032,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__bacteroides_ovatus,1,0.1,0.1,0.3,0.003,FALSE,TRUE,FALSE,TRUE
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00030,s__clostridium_clostridioforme,0.1,0.2,0.2,0.7,0.0028,FALSE,TRUE,FALSE,TRUE
s__bacteroides_faecis,,g__superoxide_dismutase,m__hmdb00030,s__clostridium_clostridioforme,0.1,0.4,0.2,0.3,0.0024,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__bacteroides_caccae,1,0.1,0.1,0.2,0.002,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__ruminococcus_torques,1,0.1,0.2,0.1,0.002,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__bacteroides_caccae,1,0.1,0.1,0.1,0.001,FALSE,TRUE,FALSE,TRUE
