T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_fragilis,,g__histidine kinase,m__hmdb00239,s__clostridium_bolteae,1,0.45,0.28,1,0.126,FALSE,TRUE,TRUE,FALSE
s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb01257,s__escherichia_coli,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE
s__streptococcus_parasanguinis,,g__dna-directed rna polymerase,m__hmdb00296,s__streptococcus_parasanguinis,1,1,0.91,1,0.91,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.74,0.67,0.98,0.96,0.46644864,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__eubacterium_siraeum,0.67,1,0.52,0.99,0.344916,FALSE,TRUE,FALSE,TRUE
s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__bacteroides_fragilis,1,0.99,0.99,0.35,0.343035,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__bacteroides_fragilis,0.84,0.99,0.99,0.25,0.205821,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__bacteroides_fragilis,0.84,0.99,0.99,0.24,0.19758816,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__transaldolase,m__hmdb00014,s__bacteroides_faecis,0.76,0.37,0.68,1,0.191216,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.74,0.67,0.98,0.24,0.11661216,FALSE,TRUE,FALSE,TRUE
s__escherichia_coli,,g__aspartate ammonia-lyase,m__hmdb00619,s__streptococcus_parasanguinis,0.72,0.93,0.98,0.17,0.11155536,FALSE,TRUE,FALSE,TRUE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00251,s__eubacterium_ventriosum,1,0.8,0.99,0.14,0.11088,FALSE,TRUE,FALSE,TRUE
s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__bacteroides_fragilis,1,0.99,0.99,0.1,0.09801,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__transaldolase,m__hmdb00014,s__alistipes_shahii,0.76,0.37,0.82,0.2,0.0461168,FALSE,TRUE,FALSE,TRUE
s__bacteroides_faecis,,g__superoxide dismutase,m__hmdb00030,s__haemophilus_parainfluenzae,1,0.37,0.34,0.31,0.038998,FALSE,TRUE,FALSE,TRUE
s__klebsiella_pneumoniae,,g__dihydrolipoyl dehydrogenase,m__hmdb00030,s__haemophilus_parainfluenzae,0.32,0.3,0.34,1,0.03264,FALSE,TRUE,FALSE,TRUE
s__bacteroides_cellulosilyticus,,g__aldose 1-epimerase,m__hmdb00014,s__bacteroides_faecis,0.1,0.33,0.68,1,0.02244,FALSE,TRUE,FALSE,TRUE
s__eubacterium_ventriosum,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00251,s__eubacterium_ventriosum,1,0.96,0.99,1,0.9504,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__aspartate ammonia-lyase,m__hmdb00251,s__eubacterium_ventriosum,0.72,0.89,0.99,1,0.634392,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__transaldolase,m__hmdb02322,s__bacteroides_fragilis,0.57,1,0.99,1,0.5643,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__dna-directed rna polymerase,m__hmdb00043,s__akkermansia_muciniphila,0.49,0.98,1,1,0.4802,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb01257,s__escherichia_coli,0.96,0.46,1,1,0.4416,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb01257,s__escherichia_coli,1,0.46,1,0.83,0.3818,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.67,0.67,0.98,0.85,0.3739337,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00014,s__alistipes_shahii,0.63,0.85,0.82,0.83,0.3644613,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00014,s__bacteroides_faecis,0.63,0.85,0.68,1,0.36414,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__phosphoglycerate kinase,m__hmdb00043,s__akkermansia_muciniphila,0.3,1,1,1,0.3,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__phosphoglycerate kinase,m__hmdb00043,s__eubacterium_rectale,0.96,1,0.27,1,0.2592,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__aldose 1-epimerase,m__hmdb00239,s__bacteroides_ovatus,1,0.27,0.93,1,0.2511,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb02322,s__akkermansia_muciniphila,1,1,0.47,0.49,0.2303,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__aldose 1-epimerase,m__hmdb00014,s__alistipes_shahii,0.84,0.33,0.82,1,0.227304,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__histidine kinase,m__hmdb00239,s__bacteroides_ovatus,1,0.45,0.93,0.41,0.171585,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb01257,s__escherichia_coli,0.25,1,1,0.64,0.16,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00014,s__alistipes_shahii,0.63,0.85,0.82,0.36,0.1580796,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__aldose 1-epimerase,m__hmdb00014,s__bacteroides_faecis,0.62,0.33,0.68,1,0.139128,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb02322,s__akkermansia_muciniphila,1,1,0.47,0.29,0.1363,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00239,s__bacteroides_ovatus,0.63,0.51,0.93,0.45,0.13446405,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__alistipes_shahii,1,0.85,0.82,0.17,0.11849,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__aldose 1-epimerase,m__hmdb00014,s__alistipes_shahii,0.53,0.33,0.82,0.82,0.11760276,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb01257,s__escherichia_coli,0.25,1,1,0.4,0.1,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__akkermansia_muciniphila,0.25,0.99,0.47,0.79,0.09189675,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__aldose 1-epimerase,m__hmdb00014,s__alistipes_shahii,0.53,0.33,0.82,0.53,0.07601154,FALSE,TRUE,FALSE,FALSE
s__bacteroides_cellulosilyticus,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00056,s__eubacterium_siraeum,0.13,1,0.52,1,0.0676,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl dehydrogenase,m__hmdb00030,s__haemophilus_parainfluenzae,1,0.3,0.34,0.62,0.06324,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00239,s__clostridium_bolteae,0.84,0.22,0.28,1,0.051744,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__dna-directed rna polymerase,m__hmdb00043,s__eubacterium_rectale,1,0.98,0.27,0.12,0.031752,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__dna-directed rna polymerase,m__hmdb00043,s__eubacterium_rectale,1,0.98,0.27,0.1,0.02646,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__dihydrolipoyl dehydrogenase,m__hmdb00296,s__streptococcus_parasanguinis,0.25,0.13,0.91,0.65,0.01922375,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__transaldolase,m__hmdb00014,s__bacteroides_xylanisolvens,0.22,0.37,0.22,1,0.017908,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__l-serine ammonia-lyase,m__hmdb00030,s__haemophilus_parainfluenzae,0.34,0.13,0.34,1,0.015028,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__aldose 1-epimerase,m__hmdb00239,s__clostridium_bolteae,0.14,0.27,0.28,1,0.010584,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__aldose 1-epimerase,m__hmdb00014,s__bacteroides_xylanisolvens,0.14,0.33,0.22,0.55,0.0055902,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__aspartate ammonia-lyase,m__hmdb00014,s__bacteroides_xylanisolvens,0.73,0.25,0.22,0.1,0.004015,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__aldose 1-epimerase,m__hmdb00014,s__bacteroides_xylanisolvens,0.14,0.33,0.22,0.27,0.00274428,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__methionyl aminopeptidase,,s__alistipes_shahii,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__rna helicase,,s__bifidobacterium_longum,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__rna helicase,,s__haemophilus_parainfluenzae,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__glucose-1-phosphate adenylyltransferase,,s__roseburia_intestinalis,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__aspartate ammonia-lyase,,s__escherichia_coli,1,,0.86,1,0.86,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna helicase,,s__streptococcus_parasanguinis,0.7,,0.95,0.96,0.6384,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__glucose-1-phosphate adenylyltransferase,,s__roseburia_intestinalis,0.98,,1,0.65,0.637,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__rna helicase,,s__bifidobacterium_longum,0.63,,1,1,0.63,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,,s__eubacterium_ventriosum,0.92,,0.64,1,0.5888,FALSE,FALSE,TRUE,FALSE
