confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__ruminococcus_gnavus,s__haemophilus_parainfluenzae,s__roseburia_inulinivorans,0.75,1,1,0.75,DBN_,T,TT
s__clostridium_hathewayi,s__clostridium_clostridioforme,s__bacteroides_ovatus,1,0.82,0.72,0.5904,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_faecis,s__alistipes_shahii,1,1,0.54,0.54,DBN_,T,TT
s__ruminococcus_gnavus,s__roseburia_inulinivorans,s__haemophilus_parainfluenzae,1,0.75,0.35,0.2625,DBN_,T,TT
s__clostridium_hathewayi,s__clostridium_clostridioforme,s__bacteroides_uniformis,1,0.49,0.49,0.2401,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_faecis,s__alistipes_shahii,1,1,0.2,0.2,DBN_,T,TT
s__ruminococcus_gnavus,s__haemophilus_parainfluenzae,s__roseburia_intestinalis,0.75,0.27,0.48,0.0972,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_ovatus,s__bacteroides_uniformis,0.82,0.49,0.13,0.052234,DBN_,T,TT
m__hmdb00619,s__clostridium_clostridioforme,s__streptococcus_parasanguinis,0.44,0.4,0.2,0.0352,DBN_,T,TM
m__hmdb00619,s__clostridium_clostridioforme,s__streptococcus_parasanguinis,0.44,0.4,0.19,0.03344,DBN_,T,TM
