confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__ruminococcus_gnavus,s__escherichia_coli,s__ruminococcus_torques,0.3333,0.3333,0.2,0.022217778,PyCausal_,T,TT
s__ruminococcus_gnavus,s__ruminococcus_torques,s__escherichia_coli,0.3333,0.3333,0.2,0.022217778,PyCausal_,T,TT
s__ruminococcus_gnavus,s__escherichia_coli,s__ruminococcus_torques,0.3333,0.3333,0.1,0.011108889,PyCausal_,T,TT
s__ruminococcus_lactaris,s__eubacterium_rectale,s__faecalibacterium_prausnitzii,0.3333,0.3333,0.1,0.011108889,PyCausal_,T,TT
m__hmdb00030,s__bacteroides_faecis,s__clostridium_clostridioforme,0.125,0.125,0.1,0.0015625,PyCausal_,T,TM
m__hmdb00030,s__clostridium_clostridioforme,s__bacteroides_faecis,0.125,0.125,0.1,0.0015625,PyCausal_,T,TM
g__5formyltetrahydrofolate_cycloligase,s__eubacterium_rectale,s__faecalibacterium_prausnitzii,0.2,0.2,0.1,0.004,PyCausal_,T,TG
g__3hydroxybutyrylcoa_dehydrogenase,s__eubacterium_ventriosum,s__roseburia_intestinalis,0.3,0.1,0.1,0.003,PyCausal_,T,TG
g__3hydroxybutyrylcoa_dehydrogenase,s__roseburia_intestinalis,s__eubacterium_ventriosum,0.1,0.3,0.1,0.003,PyCausal_,T,TG
s__bacteroides_faecis,g__peptidylprolyl_isomerase,m__hmdb00030,0.1,0.1,0.1,0.001,PyCausal_,GM,TGM
g__acetylcoa_cacetyltransferase,s__bacteroides_fragilis,s__roseburia_intestinalis,0.1,0.2,0.3333,0.006666,PyCausal_,TT,TTG
g__acetylcoa_cacetyltransferase,s__roseburia_intestinalis,s__bacteroides_fragilis,0.2,0.1,0.3333,0.006666,PyCausal_,TT,TTG
g__superoxide_dismutase,s__clostridium_bolteae,s__bacteroides_fragilis,0.1,0.1,0.3333,0.003333,PyCausal_,TT,TTG
