confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__clostridium_hathewayi,s__bacteroides_ovatus,s__bacteroides_caccae,0.1111,0.2222,0.2,0.004937284,PyCausal_,T,TT
s__bacteroides_dorei,s__bacteroides_thetaiotaomicron,s__alistipes_shahii,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__clostridium_citroniae,s__bacteroides_ovatus,s__bacteroides_caccae,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__clostridium_hathewayi,s__bacteroides_ovatus,s__bacteroides_caccae,0.1111,0.2222,0.1,0.002468642,PyCausal_,T,TT
s__veillonella_dispar,s__bacteroides_fragilis,s__haemophilus_parainfluenzae,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__veillonella_dispar,s__haemophilus_parainfluenzae,s__bacteroides_fragilis,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__clostridium_hathewayi,s__bacteroides_ovatus,s__clostridium_bolteae,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__clostridium_hathewayi,s__clostridium_bolteae,s__bacteroides_ovatus,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__clostridium_hathewayi,s__bacteroides_caccae,s__bacteroides_ovatus,0.2222,0.1111,0.1,0.002468642,PyCausal_,T,TT
s__bacteroides_dorei,s__alistipes_shahii,s__bacteroides_thetaiotaomicron,0.1111,0.1111,0.2,0.002468642,PyCausal_,T,TT
s__bacteroides_dorei,s__alistipes_shahii,s__bacteroides_thetaiotaomicron,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__bacteroides_dorei,s__bacteroides_thetaiotaomicron,s__alistipes_shahii,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__clostridium_citroniae,s__bacteroides_ovatus,s__bacteroides_caccae,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__clostridium_citroniae,s__bacteroides_caccae,s__bacteroides_ovatus,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__ruminococcus_gnavus,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__veillonella_dispar,s__haemophilus_parainfluenzae,s__bacteroides_fragilis,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
s__veillonella_dispar,s__bacteroides_fragilis,s__haemophilus_parainfluenzae,0.1111,0.1111,0.1,0.001234321,PyCausal_,T,TT
m__hmdb00014,s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,0.1111,0.2222,0.1,0.002468642,PyCausal_,T,TM
m__hmdb00014,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.2222,0.1111,0.1,0.002468642,PyCausal_,T,TM
g__aspartate_ammonialyase,s__eubacterium_siraeum,s__roseburia_intestinalis,0.1,0.2,0.1,0.002,PyCausal_,T,TG
g__aspartate_ammonialyase,s__roseburia_intestinalis,s__eubacterium_siraeum,0.2,0.1,0.1,0.002,PyCausal_,T,TG
g__peroxiredoxin,s__eubacterium_siraeum,s__roseburia_intestinalis,0.1,0.1,0.1,0.001,PyCausal_,T,TG
g__peroxiredoxin,s__roseburia_intestinalis,s__eubacterium_siraeum,0.1,0.1,0.1,0.001,PyCausal_,T,TG
s__bacteroides_ovatus,g__histidine_kinase,m__hmdb00239,0.7,0.8,0.1,0.056,PyCausal_,GM,TGM
s__bacteroides_stercoris,g__pyruvate_carboxylase,m__hmdb00020,1,0.5,0.1,0.05,PyCausal_,GM,TGM
s__faecalibacterium_prausnitzii,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00014,1,0.1,0.1,0.01,PyCausal_,GM,TGM
s__eubacterium_rectale,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00014,0.8,0.1,0.1,0.008,PyCausal_,GM,TGM
s__faecalibacterium_prausnitzii,g__phosphoglycerate_kinase,m__hmdb00014,0.8,0.1,0.1,0.008,PyCausal_,GM,TGM
s__ruminococcus_torques,g__histidine_kinase,m__hmdb00239,0.2,0.3,0.1,0.006,PyCausal_,GM,TGM
s__bacteroides_stercoris,g__triosephosphate_isomerase,m__hmdb00020,0.1,0.5,0.1,0.005,PyCausal_,GM,TGM
s__bacteroides_faecis,g__thymidylate_synthase,m__hmdb00056,0.2,0.1,0.1,0.002,PyCausal_,GM,TGM
g__betalactamase,s__bacteroides_xylanisolvens,s__bacteroides_ovatus,0.1,0.1,0.3333,0.003333,PyCausal_,TT,TTG
