T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00030,s__clostridium_clostridioforme,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE
s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.98,0.86,1,1,0.8428,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__roseburia_inulinivorans,1,0.93,0.68,1,0.6324,FALSE,TRUE,TRUE,FALSE
s__eubacterium_rectale,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__roseburia_inulinivorans,1,0.93,0.68,1,0.6324,FALSE,TRUE,TRUE,FALSE
s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb00619,s__bifidobacterium_longum,0.95,0.77,1,0.83,0.607145,FALSE,TRUE,TRUE,FALSE
s__akkermansia_muciniphila,,g__dephospho-coa kinase,m__hmdb00239,s__akkermansia_muciniphila,0.9,0.55,0.79,1,0.39105,FALSE,TRUE,TRUE,FALSE
s__eubacterium_rectale,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__eubacterium_rectale,1,0.93,0.31,1,0.2883,FALSE,TRUE,TRUE,FALSE
s__alistipes_shahii,,g__dna-directed rna polymerase,m__hmdb00043,s__eubacterium_ventriosum,0.92,0.28,1,1,0.2576,FALSE,TRUE,TRUE,FALSE
s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.32,0.86,1,0.81,0.222912,FALSE,TRUE,TRUE,FALSE
s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00619,s__bacteroides_uniformis,0.94,0.77,0.27,1,0.195426,FALSE,TRUE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__dna-directed rna polymerase,m__hmdb00043,s__bacteroides_cellulosilyticus,0.52,0.28,0.92,1,0.133952,FALSE,TRUE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate kinase,m__hmdb00239,s__eubacterium_rectale,1,0.69,0.14,1,0.0966,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__eubacterium_rectale,1,0.93,0.31,0.25,0.072075,FALSE,TRUE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__beta-lactamase,m__hmdb00619,s__bacteroides_xylanisolvens,0.35,0.85,0.2,1,0.0595,FALSE,TRUE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bacteroides_uniformis,0.35,0.18,0.81,1,0.05103,FALSE,TRUE,TRUE,FALSE
s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb01149,s__roseburia_intestinalis,1,0.26,0.94,0.15,0.03666,FALSE,TRUE,TRUE,FALSE
s__eubacterium_ventriosum,,g__phosphopyruvate hydratase,m__hmdb00014,s__bacteroides_uniformis,0.98,1,0.1,0.24,0.02352,FALSE,TRUE,TRUE,FALSE
s__roseburia_intestinalis,,g__glutamate decarboxylase,m__hmdb00764,s__streptococcus_parasanguinis,0.36,0.11,0.19,0.71,0.00534204,FALSE,TRUE,TRUE,FALSE
s__bacteroides_caccae,,g__transaldolase,m__hmdb00056,s__ruminococcus_torques,1,0.87,1,1,0.87,FALSE,TRUE,FALSE,TRUE
s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.98,1,0.7,0.686,FALSE,TRUE,FALSE,TRUE
