T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.8,0.2,0.4,1,0.064,FALSE,TRUE,TRUE,TRUE
s__bacteroides_faecis,,g__methionyl_aminopeptidase,m__hmdb00097,s__bacteroides_faecis,0.8,0.2,0.2,0.2,0.0064,FALSE,TRUE,TRUE,TRUE
s__bacteroides_stercoris,,g__dephosphocoa_kinase,m__hmdb00619,s__bacteroides_stercoris,1,0.2,0.2,0.8,0.032,FALSE,TRUE,TRUE,FALSE
s__clostridium_bolteae,,g__phosphatidate_cytidylyltransferase,m__hmdb00056,s__bacteroides_caccae,0.2,0.8,0.4,0.2,0.0128,FALSE,TRUE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,m__hmdb00619,s__eubacterium_rectale,0.4,0.4,0.2,0.2,0.0064,FALSE,TRUE,TRUE,FALSE
s__bacteroides_faecis,,g__methionyl_aminopeptidase,m__hmdb00097,s__alistipes_shahii,0.8,0.2,0.2,0.4,0.0128,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,m__hmdb00020,s__eubacterium_rectale,0.4,0.6,0.2,0.2,0.0096,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__histidine_kinase,m__hmdb00239,s__bacteroides_ovatus,0.2,0.2,0.4,0.6,0.0096,FALSE,TRUE,FALSE,TRUE
s__alistipes_shahii,,g__thymidylate_synthase,m__hmdb00097,s__bacteroides_faecis,0.6,0.2,0.2,0.4,0.0096,FALSE,TRUE,FALSE,TRUE
s__alistipes_shahii,,g__thymidylate_synthase,m__hmdb00097,s__alistipes_shahii,0.6,0.2,0.2,0.2,0.0048,FALSE,TRUE,FALSE,TRUE
s__alistipes_shahii,,g__thymidylate_synthase,m__hmdb00097,s__ruminococcus_torques,0.6,0.2,0.2,0.2,0.0048,FALSE,TRUE,FALSE,TRUE
s__bacteroides_stercoris,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.6,0.2,0.4,0.6,0.0288,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__dnadirected_rna_polymerase,m__hmdb00251,s__bacteroides_xylanisolvens,0.6,0.4,0.6,0.2,0.0288,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__endopeptidase_clp,m__hmdb00251,s__bacteroides_xylanisolvens,0.2,0.8,0.6,0.2,0.0192,FALSE,TRUE,FALSE,FALSE
s__bacteroides_cellulosilyticus,,g__betalactamase,m__hmdb00097,s__ruminococcus_torques,1,0.4,0.2,0.2,0.016,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,m__hmdb00056,s__ruminococcus_torques,0.4,0.4,0.4,0.2,0.0128,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,m__hmdb00056,s__bacteroides_caccae,0.4,0.4,0.4,0.2,0.0128,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__glutamate_dehydrogenase,m__hmdb00030,s__bacteroides_faecis,0.4,0.2,0.4,0.2,0.0064,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__dnadirected_rna_polymerase,m__hmdb00251,s__roseburia_intestinalis,0.2,0.4,0.2,0.4,0.0064,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__glutamate_dehydrogenase,m__hmdb00030,s__ruminococcus_torques,0.2,0.2,0.2,0.2,0.0016,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__aspartate_ammonialyase,,s__klebsiella_pneumoniae,0.8,,0.8,0.6,0.384,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__aspartate_ammonialyase,,s__klebsiella_pneumoniae,0.2,,0.8,0.6,0.096,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__aspartate_ammonialyase,,s__streptococcus_parasanguinis,0.8,,0.2,0.6,0.096,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__glucose1phosphate_adenylyltransferase,,s__roseburia_intestinalis,0.4,,0.2,1,0.08,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__dna_helicase,,s__akkermansia_muciniphila,0.6,,0.4,0.2,0.048,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__shikimate_kinase,,s__eubacterium_ventriosum,0.2,,0.2,1,0.04,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate_kinase,,s__bacteroides_caccae,0.2,,0.2,1,0.04,FALSE,FALSE,TRUE,FALSE
s__clostridium_clostridioforme,,g__aldose_1epimerase,,s__clostridium_clostridioforme,0.2,,0.2,1,0.04,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__uridine_kinase,,s__bacteroides_stercoris,0.2,,0.2,0.8,0.032,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__3hydroxybutyrylcoa_dehydrogenase,,s__bacteroides_finegoldii,0.2,,0.2,0.8,0.032,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__glucose1phosphate_adenylyltransferase,,s__bacteroides_fragilis,0.4,,0.2,0.4,0.032,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__glucose1phosphate_adenylyltransferase,,s__alistipes_shahii,0.4,,0.2,0.4,0.032,FALSE,FALSE,TRUE,FALSE
s__alistipes_shahii,,g__glucose1phosphate_adenylyltransferase,,s__bacteroides_faecis,0.2,,0.4,0.4,0.032,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__glucose1phosphate_adenylyltransferase,,s__bacteroides_faecis,0.4,,0.4,0.2,0.032,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__rna_helicase,,s__streptococcus_parasanguinis,0.2,,0.2,0.6,0.024,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__endopeptidase_clp,,s__bacteroides_ovatus,0.2,,0.2,0.6,0.024,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__glutamate_decarboxylase,,s__akkermansia_muciniphila,0.2,,0.2,0.6,0.024,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate_kinase,,s__ruminococcus_torques,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__shikimate_kinase,,s__bacteroides_caccae,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__pyruvate_carboxylase,,s__bacteroides_uniformis,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__uridine_kinase,,s__bacteroides_xylanisolvens,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__transaldolase,,s__ruminococcus_torques,0.4,,0.2,0.2,0.016,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__transaldolase,,s__akkermansia_muciniphila,0.2,,0.4,0.2,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,,s__roseburia_inulinivorans,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__glucose1phosphate_adenylyltransferase,,s__bacteroides_fragilis,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,,s__roseburia_intestinalis,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__peptidylprolyl_isomerase,,s__eubacterium_ventriosum,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__phosphatidate_cytidylyltransferase,,s__bacteroides_faecis,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__histidine_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,0.008,FALSE,FALSE,TRUE,FALSE
