T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,1,1,1,1,1,FALSE,TRUE,TRUE,TRUE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.67,1,0.67,FALSE,TRUE,TRUE,TRUE
s__clostridium_clostridioforme,,g__aldose 1-epimerase,m__hmdb00030,s__clostridium_clostridioforme,1,0.43,1,1,0.43,FALSE,TRUE,TRUE,TRUE
s__eubacterium_ventriosum,,g__dephospho-coa kinase,m__hmdb00043,s__eubacterium_ventriosum,0.56,0.4,1,1,0.224,FALSE,TRUE,TRUE,TRUE
s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_ovatus,1,0.88,1,0.99,0.8712,FALSE,TRUE,TRUE,FALSE
s__bacteroides_stercoris,,g__dephospho-coa kinase,m__hmdb00043,s__bacteroides_stercoris,1,0.4,1,1,0.4,FALSE,TRUE,TRUE,FALSE
s__bacteroides_stercoris,,g__dephospho-coa kinase,m__hmdb00043,s__eubacterium_ventriosum,1,0.4,1,1,0.4,FALSE,TRUE,TRUE,FALSE
s__escherichia_coli,,g__histidine kinase,m__hmdb00097,s__bacteroides_cellulosilyticus,0.3,0.57,0.98,0.38,0.0636804,FALSE,TRUE,TRUE,FALSE
s__bacteroides_stercoris,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb01257,s__bacteroides_uniformis,1,0.99,0.13,0.16,0.020592,FALSE,TRUE,TRUE,FALSE
s__escherichia_coli,,g__histidine kinase,m__hmdb00097,s__bacteroides_faecis,0.3,0.57,0.29,0.15,0.0074385,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__bacteroides_ovatus,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE
s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__bacteroides_ovatus,0.99,1,1,1,0.99,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,1,1,0.92,1,0.92,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_uniformis,0.95,0.93,1,1,0.8835,FALSE,TRUE,FALSE,TRUE
s__bacteroides_fragilis,,g__peroxiredoxin,m__hmdb02322,s__akkermansia_muciniphila,1,0.74,1,1,0.74,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__peroxiredoxin,m__hmdb02322,s__akkermansia_muciniphila,1,0.74,1,1,0.74,FALSE,TRUE,FALSE,TRUE
s__haemophilus_parainfluenzae,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_uniformis,0.86,0.93,1,0.9,0.71982,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00097,s__eubacterium_siraeum,0.92,0.91,0.83,0.97,0.67402972,FALSE,TRUE,FALSE,TRUE
s__klebsiella_pneumoniae,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.67,1,0.67,FALSE,TRUE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,g__aldose 1-epimerase,m__hmdb00209,s__roseburia_intestinalis,0.66,0.85,0.96,1,0.53856,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__rna helicase,m__hmdb00251,s__bacteroides_ovatus,1,1,0.44,0.96,0.4224,FALSE,TRUE,FALSE,TRUE
s__bacteroides_stercoris,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,0.99,0.94,0.3,1,0.27918,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__histidine kinase,m__hmdb00043,s__eubacterium_ventriosum,0.45,0.54,1,1,0.243,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,1,1,0.16,0.76,0.1216,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__endopeptidase clp,m__hmdb00251,s__bacteroides_ovatus,0.16,1,0.44,1,0.0704,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__endopeptidase clp,m__hmdb00251,s__ruminococcus_torques,0.16,1,0.4,1,0.064,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,0.95,0.93,0.3,0.24,0.063612,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__beta-lactamase,m__hmdb00043,s__bacteroides_stercoris,0.2,0.13,1,0.98,0.02548,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__peptidylprolyl isomerase,m__hmdb02322,s__akkermansia_muciniphila,0.52,0.25,1,0.11,0.0143,FALSE,TRUE,FALSE,TRUE
s__alistipes_shahii,,g__peptidylprolyl isomerase,m__hmdb02322,s__akkermansia_muciniphila,0.15,0.25,1,0.32,0.012,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__streptococcus_parasanguinis,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00043,s__eubacterium_ventriosum,1,0.95,1,1,0.95,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.88,1,0.76,0.6688,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__aldose 1-epimerase,m__hmdb00209,s__alistipes_shahii,0.97,0.85,0.82,0.95,0.6422855,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__transaldolase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.63,1,1,0.63,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,0.61,1,0.92,1,0.5612,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__histidine kinase,m__hmdb00043,s__eubacterium_ventriosum,1,0.54,1,1,0.54,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.74,1,0.67,1,0.4958,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__bacteroides_fragilis,1,1,0.44,1,0.44,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00209,s__alistipes_shahii,0.92,0.57,0.82,1,0.430008,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,0.91,0.42,1,1,0.3822,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,0.39,1,0.92,1,0.3588,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,1,0.93,0.3,1,0.279,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__glutamate decarboxylase,m__hmdb00764,s__eubacterium_siraeum,0.39,1,0.96,0.66,0.247104,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__phosphoglycerate kinase,m__hmdb00239,s__streptococcus_parasanguinis,0.95,0.26,1,1,0.247,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_faecis,0.92,0.91,0.29,1,0.242788,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb02322,s__akkermansia_muciniphila,0.6,0.33,1,0.98,0.19404,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.97,0.85,0.2,1,0.1649,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__histidine kinase,m__hmdb00097,s__bacteroides_cellulosilyticus,0.42,0.57,0.98,0.7,0.1642284,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__histidine kinase,m__hmdb00043,s__bacteroides_stercoris,1,0.54,1,0.3,0.162,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__bacteroides_finegoldii,1,1,0.16,1,0.16,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.99,1,0.16,1,0.1584,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__aldose 1-epimerase,m__hmdb00209,s__alistipes_shahii,0.22,0.85,0.82,1,0.15334,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.26,1,0.67,0.85,0.14807,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,0.99,0.94,0.3,0.49,0.1367982,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.75,0.85,0.2,1,0.1275,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__bacteroides_fragilis,0.97,1,0.12,1,0.1164,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__beta-lactamase,m__hmdb00043,s__bacteroides_stercoris,0.91,0.13,1,0.97,0.114751,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__histidine kinase,m__hmdb00097,s__bacteroides_fragilis,0.42,0.57,0.44,1,0.105336,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00619,s__clostridium_bolteae,1,0.36,0.34,0.83,0.101592,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__eubacterium_siraeum,1,1,0.83,0.12,0.0996,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__superoxide dismutase,m__hmdb01257,s__bacteroides_uniformis,0.85,0.97,0.13,0.87,0.09325095,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__bacteroides_faecis,1,1,0.29,0.3,0.087,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00251,s__ruminococcus_torques,1,0.85,0.4,0.25,0.085,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__phosphopyruvate hydratase,m__hmdb00043,s__bacteroides_stercoris,0.1,0.95,1,0.89,0.08455,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,0.33,0.88,1,0.28,0.081312,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb02322,s__bacteroides_fragilis,1,0.33,0.24,1,0.0792,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__ruminococcus_torques,1,0.85,0.4,0.19,0.0646,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__methionyl aminopeptidase,m__hmdb00239,s__roseburia_intestinalis,0.11,0.88,0.63,1,0.060984,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__triose-phosphate isomerase,m__hmdb00619,s__clostridium_bolteae,0.2,0.86,0.34,1,0.05848,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__endopeptidase clp,m__hmdb00619,s__clostridium_bolteae,0.16,0.95,0.34,1,0.05168,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00251,s__ruminococcus_torques,1,0.84,0.4,0.15,0.0504,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_fragilis,0.91,0.12,0.44,1,0.048048,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb01257,s__bacteroides_uniformis,0.36,0.99,0.13,0.97,0.04494204,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__glutamate decarboxylase,m__hmdb00764,s__bacteroides_finegoldii,1,1,0.16,0.27,0.0432,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.25,1,0.16,1,0.04,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.12,0.29,0.91,0.031668,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__bacteroides_fragilis,0.25,1,0.12,1,0.03,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_cellulosilyticus,0.96,0.12,0.98,0.26,0.02935296,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dna-directed rna polymerase,m__hmdb00251,s__bacteroides_ovatus,0.1,0.85,0.44,0.76,0.028424,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__aldose 1-epimerase,m__hmdb00030,s__eubacterium_siraeum,0.66,0.43,0.1,1,0.02838,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_faecis,0.12,0.91,0.29,0.8,0.0253344,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,1,0.85,0.2,0.14,0.0238,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__beta-lactamase,m__hmdb00043,s__bacteroides_stercoris,0.22,0.13,1,0.73,0.020878,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dna-directed rna polymerase,m__hmdb00251,s__ruminococcus_torques,0.1,0.85,0.4,0.59,0.02006,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__methionyl aminopeptidase,m__hmdb00030,s__clostridium_clostridioforme,0.11,0.39,1,0.46,0.019734,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__peptidylprolyl isomerase,m__hmdb00619,s__clostridium_bolteae,0.47,0.12,0.34,0.99,0.01898424,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dna-directed rna polymerase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.1,0.85,0.2,1,0.017,FALSE,TRUE,FALSE,FALSE
s__bacteroides_cellulosilyticus,,g__transaldolase,m__hmdb00239,s__streptococcus_parasanguinis,0.18,0.63,1,0.12,0.013608,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,0.11,0.88,1,0.14,0.013552,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__aldose 1-epimerase,m__hmdb00030,s__eubacterium_siraeum,0.22,0.43,0.1,0.96,0.0090816,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__phosphopyruvate hydratase,m__hmdb00014,s__klebsiella_pneumoniae,0.1,0.15,0.67,0.7,0.007035,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__peptidylprolyl isomerase,m__hmdb00619,s__clostridium_bolteae,0.15,0.12,0.34,1,0.00612,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__eubacterium_siraeum,0.12,0.12,0.83,0.19,0.00227088,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__fructose-bisphosphate aldolase,,s__bacteroides_finegoldii,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,,s__bacteroides_finegoldii,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__fructose-bisphosphate aldolase,,s__streptococcus_parasanguinis,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__fructose-bisphosphate aldolase,,s__klebsiella_pneumoniae,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__l-serine ammonia-lyase,,s__klebsiella_pneumoniae,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__3-hydroxybutyryl-coa dehydrogenase,,s__eubacterium_ventriosum,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__clostridium_clostridioforme,,g__aldose 1-epimerase,,s__clostridium_clostridioforme,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__glucose-1-phosphate adenylyltransferase,,s__eubacterium_rectale,1,,0.99,1,0.99,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__dna helicase,,s__bacteroides_caccae,1,,1,0.97,0.97,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__dephospho-coa kinase,,s__bacteroides_stercoris,1,,1,0.97,0.97,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__methionyl aminopeptidase,,s__bacteroides_finegoldii,1,,0.96,1,0.96,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__glucose-1-phosphate adenylyltransferase,,s__bacteroides_thetaiotaomicron,0.93,,1,1,0.93,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__3-hydroxybutyryl-coa dehydrogenase,,s__eubacterium_ventriosum,0.93,,1,1,0.93,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,,s__bacteroides_stercoris,1,,0.9,1,0.9,FALSE,FALSE,TRUE,FALSE
