T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__bacteroides_ovatus,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00043,s__eubacterium_ventriosum,1,0.92,1,1,0.92,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__l-serine ammonia-lyase,,s__streptococcus_parasanguinis,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__clostridium_clostridioforme,,g__aldose 1-epimerase,,s__clostridium_clostridioforme,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__l-serine ammonia-lyase,,s__klebsiella_pneumoniae,1,,0.97,1,0.97,FALSE,FALSE,TRUE,FALSE
s__alistipes_shahii,,g__thymidylate synthase,,s__bacteroides_uniformis,0.78,,0.86,1,0.6708,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__thymidylate synthase,,s__bacteroides_uniformis,0.67,,0.86,1,0.5762,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__dephospho-coa kinase,,s__bacteroides_stercoris,1,,0.99,0.38,0.3762,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__beta-lactamase,,s__bacteroides_xylanisolvens,0.3,,1,1,0.3,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__beta-lactamase,,s__bacteroides_thetaiotaomicron,0.3,,1,1,0.3,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__glucose-1-phosphate adenylyltransferase,,s__eubacterium_rectale,1,,0.3,1,0.3,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__peroxiredoxin,,s__escherichia_coli,0.85,,0.89,0.32,0.24208,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__glutamate decarboxylase,,s__akkermansia_muciniphila,1,,0.17,1,0.17,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__dihydrolipoyl dehydrogenase,,s__akkermansia_muciniphila,0.85,,0.26,0.68,0.15028,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__peroxiredoxin,,s__haemophilus_parainfluenzae,0.15,,0.87,1,0.1305,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__beta-lactamase,,s__bacteroides_thetaiotaomicron,0.6,,1,0.21,0.126,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__glucose-1-phosphate adenylyltransferase,,s__bacteroides_thetaiotaomicron,0.13,,1,0.73,0.0949,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__phosphoglycerate kinase,,s__bacteroides_ovatus,0.14,,0.65,1,0.091,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__aspartate ammonia-lyase,,s__bifidobacterium_longum,0.62,,0.14,1,0.0868,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__aldose 1-epimerase,,s__akkermansia_muciniphila,1,,0.18,0.32,0.0576,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__aspartate ammonia-lyase,,s__escherichia_coli,0.62,,0.11,0.52,0.035464,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__aspartate ammonia-lyase,,s__bifidobacterium_longum,0.15,,0.14,1,0.021,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__aspartate ammonia-lyase,,s__escherichia_coli,0.15,,0.11,1,0.0165,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,,m__hmdb00239,s__bacteroides_ovatus,,1,1,1,1,FALSE,FALSE,FALSE,TRUE
s__clostridium_clostridioforme,,,m__hmdb00030,s__clostridium_clostridioforme,,1,1,1,1,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00764,s__akkermansia_muciniphila,,1,0.9,1,0.9,FALSE,FALSE,FALSE,TRUE
