T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.34,0.99,0.8,0.26928,FALSE,TRUE,TRUE,TRUE
s__bacteroides_finegoldii,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__eubacterium_ventriosum,0.24,0.38,1,0.7,0.06384,FALSE,TRUE,TRUE,TRUE
s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.95,0.94,1,1,0.893,FALSE,TRUE,TRUE,FALSE
s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00195,s__escherichia_coli,0.69,0.7,1,1,0.483,FALSE,TRUE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_thetaiotaomicron,0.6,1,0.82,0.94,0.46248,FALSE,TRUE,TRUE,FALSE
s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00619,s__bacteroides_uniformis,1,0.77,0.55,1,0.4235,FALSE,TRUE,TRUE,FALSE
s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.44,0.94,1,0.99,0.409464,FALSE,TRUE,TRUE,FALSE
s__bacteroides_stercoris,,g__superoxide dismutase,m__hmdb00296,s__clostridium_bolteae,0.58,1,0.95,0.36,0.19836,FALSE,TRUE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__beta-lactamase,m__hmdb00764,s__bacteroides_xylanisolvens,0.39,0.54,0.85,1,0.17901,FALSE,TRUE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__dna-directed rna polymerase,m__hmdb00043,s__bacteroides_cellulosilyticus,0.71,0.23,0.93,1,0.151869,FALSE,TRUE,TRUE,FALSE
s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00630,s__streptococcus_parasanguinis,0.69,0.59,1,0.25,0.101775,FALSE,TRUE,TRUE,FALSE
s__akkermansia_muciniphila,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.98,0.94,1,0.1,0.09212,FALSE,TRUE,TRUE,FALSE
s__bacteroides_finegoldii,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_cellulosilyticus,0.24,0.38,0.93,1,0.084816,FALSE,TRUE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bacteroides_uniformis,0.52,0.19,0.76,1,0.075088,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__eubacterium_rectale,1,0.91,0.29,0.24,0.063336,FALSE,TRUE,TRUE,FALSE
s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00097,s__roseburia_intestinalis,1,0.34,0.35,0.36,0.04284,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_cellulosilyticus,1,0.38,0.93,0.1,0.03534,FALSE,TRUE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__eubacterium_rectale,0.24,0.91,0.29,0.49,0.03103464,FALSE,TRUE,TRUE,FALSE
s__roseburia_intestinalis,,g__glutamate decarboxylase,m__hmdb00764,s__streptococcus_parasanguinis,0.78,0.31,0.15,0.77,0.0279279,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__eubacterium_rectale,1,0.39,0.3,0.17,0.01989,FALSE,TRUE,TRUE,FALSE
s__bacteroides_caccae,,g__transaldolase,m__hmdb00056,s__ruminococcus_torques,1,0.92,1,1,0.92,FALSE,TRUE,FALSE,TRUE
s__roseburia_intestinalis,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__haemophilus_parainfluenzae,0.96,0.84,1,0.63,0.508032,FALSE,TRUE,FALSE,TRUE
s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__ruminococcus_torques,0.52,0.86,1,1,0.4472,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_ovatus,1,0.38,1,1,0.38,FALSE,TRUE,FALSE,TRUE
s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb01257,s__odoribacter_splanchnicus,0.55,0.5,1,0.97,0.26675,FALSE,TRUE,FALSE,TRUE
s__eubacterium_ventriosum,,g__phosphopyruvate hydratase,m__hmdb00043,s__eubacterium_ventriosum,1,0.24,1,1,0.24,FALSE,TRUE,FALSE,TRUE
s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00043,s__eubacterium_ventriosum,1,0.22,1,0.95,0.209,FALSE,TRUE,FALSE,TRUE
s__bacteroides_faecis,,g__superoxide dismutase,m__hmdb00043,s__bacteroides_ovatus,0.42,0.38,1,1,0.1596,FALSE,TRUE,FALSE,TRUE
s__bacteroides_faecis,,g__superoxide dismutase,m__hmdb00043,s__bacteroides_stercoris,0.42,0.38,0.88,1,0.140448,FALSE,TRUE,FALSE,TRUE
s__eubacterium_siraeum,,g__uridine kinase,m__hmdb00030,s__eubacterium_siraeum,0.42,1,0.33,1,0.1386,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,1,0.38,0.88,0.4,0.13376,FALSE,TRUE,FALSE,TRUE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00089,s__clostridium_clostridioforme,0.54,0.26,1,0.94,0.131976,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00296,s__bacteroides_thetaiotaomicron,1,1,0.82,0.1,0.082,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00056,s__ruminococcus_torques,0.69,0.1,1,1,0.069,FALSE,TRUE,FALSE,TRUE
s__eubacterium_siraeum,,g__peptidylprolyl isomerase,m__hmdb00296,s__bacteroides_thetaiotaomicron,0.69,0.11,0.82,0.82,0.05103516,FALSE,TRUE,FALSE,TRUE
s__bacteroides_fragilis,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00209,s__roseburia_inulinivorans,0.11,0.13,0.65,1,0.009295,FALSE,TRUE,FALSE,TRUE
s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,0.55,0.19,0.24,0.19,0.0047652,FALSE,TRUE,FALSE,TRUE
s__roseburia_intestinalis,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__roseburia_intestinalis,0.96,0.84,1,1,0.8064,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__phosphopyruvate hydratase,m__hmdb02322,s__bacteroides_faecis,0.95,0.82,1,1,0.779,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__bacteroides_stercoris,0.98,0.94,0.88,0.95,0.7701232,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__shikimate kinase,m__hmdb00239,s__bacteroides_caccae,1,0.77,0.99,1,0.7623,FALSE,TRUE,FALSE,FALSE
