T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00030,s__clostridium_clostridioforme,1,0.95,1,1,0.95,FALSE,TRUE,TRUE,TRUE
s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00030,s__clostridium_clostridioforme,1,0.95,1,1,0.95,FALSE,TRUE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__roseburia_inulinivorans,1,0.68,0.67,1,0.4556,FALSE,TRUE,TRUE,FALSE
s__alistipes_shahii,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb01257,s__clostridium_bolteae,0.13,0.47,1,0.96,0.058656,FALSE,TRUE,TRUE,FALSE
s__clostridium_bolteae,,g__phosphopyruvate hydratase,m__hmdb00043,s__bacteroides_cellulosilyticus,1,0.12,0.86,0.28,0.028896,FALSE,TRUE,TRUE,FALSE
s__alistipes_shahii,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb01257,s__odoribacter_splanchnicus,0.13,0.47,1,0.4,0.02444,FALSE,TRUE,TRUE,FALSE
s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb01257,s__eubacterium_rectale,0.93,1,1,1,0.93,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00764,s__alistipes_shahii,1,0.91,1,1,0.91,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00014,s__faecalibacterium_prausnitzii,0.95,1,0.77,1,0.7315,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.73,0.96,1,0.7008,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.73,0.96,1,0.7008,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__glutamate dehydrogenase,m__hmdb01257,s__odoribacter_splanchnicus,1,0.53,1,1,0.53,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00089,s__bacteroides_stercoris,1,0.93,0.46,1,0.4278,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__beta-lactamase,m__hmdb00619,s__bacteroides_finegoldii,0.86,0.55,0.74,1,0.35002,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_ovatus,1,0.35,1,1,0.35,FALSE,TRUE,FALSE,FALSE
